Source,Target,Subgraph
11,1,0
15,1,0
16,1,0
41,1,0
43,1,0
48,1,0
18,2,0
20,2,0
27,2,0
28,2,0
29,2,0
37,2,0
42,2,0
55,2,0
11,3,0
43,3,0
45,3,0
62,3,0
9,4,1
15,4,1
60,4,1
52,5,0
10,6,0
14,6,0
57,6,0
58,6,0
10,7,0
14,7,0
18,7,0
55,7,0
57,7,0
58,7,0
20,8,0
28,8,0
31,8,0
41,8,0
55,8,0
21,9,1
29,9,0
38,9,1
46,9,1
60,9,1
14,10,0
18,10,0
33,10,0
42,10,0
58,10,0
30,11,0
43,11,0
48,11,0
52,12,0
34,13,0
18,14,0
33,14,0
42,14,0
55,14,0
58,14,0
17,15,1
25,15,1
34,15,1
35,15,0
38,15,1
39,15,1
41,15,1
44,15,1
51,15,1
53,15,1
19,16,1
25,16,1
41,16,1
46,16,1
56,16,0
60,16,1
21,17,1
34,17,1
38,17,1
39,17,1
51,17,1
23,18,0
26,18,0
28,18,0
32,18,0
58,18,0
21,19,1
22,19,1
25,19,1
30,19,1
46,19,1
52,19,1
31,20,0
55,20,0
29,21,0
37,21,1
39,21,1
45,21,0
48,21,0
51,21,1
30,22,1
34,22,1
38,22,1
46,22,1
52,22,1
37,24,0
46,24,0
52,24,0
30,25,1
46,25,1
52,25,1
27,26,0
28,26,0
28,27,0
31,29,0
48,29,0
36,30,0
44,30,1
46,30,1
52,30,1
53,30,1
43,31,0
48,31,0
61,33,0
35,34,0
38,34,1
39,34,1
41,34,1
44,34,1
51,34,1
38,35,0
45,35,0
50,35,0
38,37,1
40,37,0
41,37,1
60,37,1
41,38,1
44,38,1
46,38,1
62,38,0
44,39,1
45,39,0
53,39,1
59,39,0
58,40,0
53,41,1
55,42,0
58,42,0
48,43,0
51,43,0
47,44,0
54,44,0
51,46,1
52,46,1
60,46,1
50,47,0
58,49,0
52,51,1
56,52,0
62,54,0
58,55,0
