X,Y,class
-6.244,6.6637,0
-8.194,7.5372,0
1.732,-0.6362,2
-6.137,-5.1643,1
-7.424,6.4897,0
2.579,0.0229,2
3.275,1.3931,2
-7.783,6.8428,0
-7.791,5.8896,0
-7.537,7.1956,0
2.306,0.1782,2
-5.782,-6.8080,1
3.177,0.6922,2
-6.462,-3.8115,1
-5.462,-5.4064,1
-5.445,-5.9694,1
-7.130,-5.3023,1
-6.048,-4.8835,1
-7.618,5.9989,0
3.003,-0.3273,2
3.390,0.4542,2
2.785,0.0178,2
2.663,0.3661,2
2.144,0.8987,2
-5.227,-5.7916,1
1.984,0.1108,2
-6.262,-5.5398,1
2.974,-0.8583,2
-6.064,-4.5120,1
4.061,-0.6227,2
1.906,0.4047,2
-8.026,7.6504,0
-5.414,-4.8538,1
-7.118,-6.6152,1
-8.112,6.1898,0
-7.871,7.3684,0
-5.652,-4.8334,1
-5.510,-4.7997,1
-7.097,6.6782,0
-7.951,5.6635,0
3.510,0.5313,2
-5.322,-5.5610,1
-6.078,-5.8538,1
-5.705,-5.7856,1
-7.898,6.0079,0
3.676,-0.3872,2
3.171,-1.0858,2
3.783,0.7060,2
-5.697,-4.9190,1
2.699,-0.1175,2
3.164,0.2890,2
-7.810,6.2777,0
-6.031,-5.5729,1
-5.228,-5.7397,1
3.348,0.7172,2
3.484,-0.2537,2
-6.605,-5.3399,1
-5.330,-5.5986,1
3.291,0.2499,2
3.427,0.9049,2
-5.721,-5.3283,1
-8.070,7.2360,0
3.507,-0.2217,2
-5.724,-5.9350,1
2.198,-0.8326,2
-5.652,-6.2332,1
-9.394,7.7756,0
3.705,0.7447,2
-7.619,7.3749,0
2.767,0.5743,2
-8.708,5.8255,0
3.722,0.0572,2
3.130,-0.0802,2
-5.327,-5.3111,1
-6.356,-6.2371,1
-6.546,-5.8248,1
-7.737,6.0390,0
-4.864,-4.9216,1
-6.111,-6.4063,1
-7.941,6.3321,0
4.159,-0.2854,2
-8.892,7.3412,0
-8.076,6.7715,0
-8.457,7.9231,0
-5.317,-6.1470,1
-8.083,7.3230,0
-5.073,-5.5217,1
3.392,-0.6176,2
-8.088,6.8519,0
-7.996,6.2588,0
-6.035,-5.6736,1
-6.010,-5.6350,1
2.919,0.2825,2
3.488,-0.2649,2
3.824,-0.3280,2
2.389,0.5603,2
2.875,0.8842,2
1.958,0.3910,2
3.731,0.4789,2
-5.135,-4.3914,1
3.626,1.2078,2
-7.518,7.1711,0
-8.187,6.4795,0
3.071,0.1385,2
-5.611,-5.1847,1
3.554,-0.2193,2
-7.592,5.4720,0
-5.831,-5.1232,1
-6.090,-5.3405,1
-5.206,-6.0397,1
3.230,-0.3250,2
-5.585,-5.1644,1
3.105,0.1737,2
-8.474,6.8961,0
-6.428,-6.3583,1
-7.837,6.7977,0
-7.949,6.5530,0
-7.404,6.8881,0
-4.909,-5.3053,1
-6.204,-4.7718,1
3.179,0.6613,2
-8.443,6.5993,0
-7.236,6.5831,0
2.834,-0.9011,2
3.450,1.4523,2
2.650,0.9684,2
3.089,-0.2468,2
-6.641,6.9577,0
2.703,0.4993,2
-5.733,-5.2830,1
-8.752,6.4549,0
3.071,0.7801,2
-9.607,6.9769,0
-5.292,-5.8699,1
2.439,0.6074,2
-7.726,-5.6342,1
2.759,-0.6367,2
3.231,0.3112,2
-5.648,-6.0266,1
-5.967,-5.7976,1
2.806,0.6413,2
1.619,0.9179,2
3.365,1.2599,2
-5.659,-5.5400,1
3.194,0.4909,2
-4.957,-5.0936,1
3.285,-0.4283,2
2.834,-0.0270,2
2.565,-0.0246,2
-8.873,6.6743,0
1.966,1.6455,2
-8.718,6.5564,0
-8.021,6.7310,0
-5.659,-4.9711,1
-6.777,5.0139,0
-7.844,6.8095,0
-8.716,6.6976,0
-7.662,7.3848,0
3.407,0.0714,2
-8.209,5.7823,0
-5.462,-4.0877,1
-4.716,-5.9302,1
-7.504,6.5682,0
-6.422,-5.7056,1
-5.565,-5.3110,1
-7.545,6.4008,0
3.002,-0.4314,2
-5.356,-5.6424,1
2.715,0.0655,2
-7.491,6.3481,0
-8.198,6.9376,0
3.504,-0.3477,2
-7.889,5.9801,0
4.170,-0.1092,2
2.951,0.2292,2
3.129,0.1156,2
2.512,0.3386,2
